productkey,orderdatekey,duedatekey,shipdatekey,customerkey,promotionkey,currencykey,salesordernumber,totalproductcost,salesamount
350,20200127,20200208,20200203,11009,1,6,SO43837,"1,898.09",3374.99
313,20200128,20200209,20200204,27641,1,100,SO43838,"2,171.29",3578.27
311,20200128,20200209,20200204,27673,1,100,SO43839,"2,171.29",3578.27
326,20200128,20200209,20200204,17957,1,39,SO43840,413.15,699.1
314,20200128,20200209,20200204,13406,1,29,SO43841,"2,171.29",3578.27
312,20200128,20200209,20200204,16630,1,6,SO43842,"2,171.29",3578.27
313,20200129,20200210,20200205,22041,1,19,SO43918,"2,171.29",3578.27
314,20200129,20200210,20200205,12124,1,39,SO43919,"2,171.29",3578.27
313,20200129,20200210,20200205,28066,1,100,SO43920,"2,171.29",3578.27
313,20200129,20200210,20200205,16743,1,6,SO43921,"2,171.29",3578.27
310,20200129,20200210,20200205,13546,1,29,SO43922,"2,171.29",3578.27
312,20200130,20200211,20200206,28018,1,100,SO43923,"2,171.29",3578.27
310,20200130,20200211,20200206,12132,1,39,SO43924,"2,171.29",3578.27
314,20200130,20200211,20200206,16661,1,6,SO43925,"2,171.29",3578.27
351,20200131,20200212,20200207,11055,1,6,SO43926,"1,898.09",3374.99
314,20200131,20200212,20200207,16662,1,6,SO43927,"2,171.29",3578.27
313,20200131,20200212,20200207,16740,1,6,SO43928,"2,171.29",3578.27
322,20200131,20200212,20200207,25270,1,6,SO43929,413.15,699.1
312,20200201,20200213,20200208,28038,1,100,SO43930,"2,171.29",3578.27
313,20200201,20200213,20200208,13548,1,29,SO43931,"2,171.29",3578.27
314,20200201,20200213,20200208,16741,1,6,SO43932,"2,171.29",3578.27
347,20200201,20200213,20200208,11031,1,6,SO43933,"1,912.15",3399.99
346,20200201,20200213,20200208,11034,1,6,SO43934,"1,912.15",3399.99
334,20200202,20200214,20200209,20048,1,98,SO43935,413.15,699.1
311,20200202,20200214,20200209,28065,1,100,SO43936,"2,171.29",3578.27
312,20200202,20200214,20200209,17047,1,6,SO43937,"2,171.29",3578.27
310,20200202,20200214,20200209,16686,1,6,SO43938,"2,171.29",3578.27
312,20200202,20200214,20200209,16659,1,6,SO43939,"2,171.29",3578.27
336,20200202,20200214,20200209,25294,1,6,SO43940,413.15,699.1
314,20200203,20200215,20200210,13600,1,98,SO43941,"2,171.29",3578.27
310,20200203,20200215,20200210,17051,1,6,SO43942,"2,171.29",3578.27
338,20200203,20200215,20200210,14565,1,100,SO43943,413.15,699.1
344,20200203,20200215,20200210,11054,1,6,SO43944,"1,912.15",3399.99
310,20200203,20200215,20200210,16675,1,6,SO43945,"2,171.29",3578.27
313,20200203,20200215,20200210,16687,1,6,SO43946,"2,171.29",3578.27
310,20200203,20200215,20200210,16712,1,6,SO43947,"2,171.29",3578.27
345,20200203,20200215,20200210,11047,1,6,SO43948,"1,912.15",3399.99
310,20200204,20200216,20200211,27726,1,100,SO43949,"2,171.29",3578.27
311,20200204,20200216,20200211,28014,1,100,SO43950,"2,171.29",3578.27
311,20200204,20200216,20200211,16696,1,6,SO43951,"2,171.29",3578.27
312,20200204,20200216,20200211,16639,1,6,SO43952,"2,171.29",3578.27
342,20200205,20200217,20200212,20049,1,98,SO43953,413.15,699.1
311,20200205,20200217,20200212,13602,1,98,SO43954,"2,171.29",3578.27
314,20200205,20200217,20200212,13661,1,98,SO43955,"2,171.29",3578.27
344,20200205,20200217,20200212,11030,1,6,SO43956,"1,912.15",3399.99
313,20200206,20200218,20200213,28068,1,100,SO43957,"2,171.29",3578.27
312,20200206,20200218,20200213,16658,1,6,SO43958,"2,171.29",3578.27
348,20200206,20200218,20200213,11035,1,6,SO43959,"1,898.09",3374.99
349,20200206,20200218,20200213,11046,1,6,SO43960,"1,898.09",3374.99
311,20200207,20200219,20200214,28031,1,100,SO43961,"2,171.29",3578.27
312,20200207,20200219,20200214,28076,1,100,SO43962,"2,171.29",3578.27
314,20200207,20200219,20200214,16685,1,6,SO43963,"2,171.29",3578.27
312,20200207,20200219,20200214,16745,1,6,SO43964,"2,171.29",3578.27
351,20200207,20200219,20200214,11038,1,6,SO43965,"1,898.09",3374.99
347,20200207,20200219,20200214,11039,1,6,SO43966,"1,912.15",3399.99
313,20200208,20200220,20200215,28040,1,100,SO43967,"2,171.29",3578.27
313,20200208,20200220,20200215,28067,1,100,SO43968,"2,171.29",3578.27
310,20200208,20200220,20200215,28071,1,100,SO43969,"2,171.29",3578.27
311,20200208,20200220,20200215,16684,1,6,SO43970,"2,171.29",3578.27
314,20200208,20200220,20200215,16657,1,6,SO43971,"2,171.29",3578.27
314,20200209,20200221,20200216,21939,1,19,SO43972,"2,171.29",3578.27
312,20200209,20200221,20200216,28039,1,100,SO43973,"2,171.29",3578.27
312,20200209,20200221,20200216,13687,1,98,SO43974,"2,171.29",3578.27
312,20200209,20200221,20200216,13540,1,29,SO43975,"2,171.29",3578.27
310,20200209,20200221,20200216,28063,1,100,SO43976,"2,171.29",3578.27
312,20200209,20200221,20200216,16703,1,6,SO43977,"2,171.29",3578.27
310,20200210,20200222,20200217,28030,1,100,SO43978,"2,171.29",3578.27
322,20200210,20200222,20200217,14576,1,100,SO43979,413.15,699.1
351,20200210,20200222,20200217,11048,1,6,SO43980,"1,898.09",3374.99
314,20200210,20200222,20200217,16664,1,6,SO43981,"2,171.29",3578.27
342,20200210,20200222,20200217,25271,1,6,SO43982,413.15,699.1
314,20200211,20200223,20200218,28017,1,100,SO43983,"2,171.29",3578.27
311,20200211,20200223,20200218,13545,1,29,SO43984,"2,171.29",3578.27
313,20200211,20200223,20200218,13515,1,29,SO43985,"2,171.29",3578.27
310,20200211,20200223,20200218,28070,1,100,SO43986,"2,171.29",3578.27
310,20200212,20200224,20200219,28042,1,100,SO43987,"2,171.29",3578.27
344,20200212,20200224,20200219,11244,1,98,SO43988,"1,912.15",3399.99
312,20200212,20200224,20200219,28083,1,100,SO43989,"2,171.29",3578.27
344,20200212,20200224,20200219,25872,1,100,SO43990,"1,912.15",3399.99
310,20200212,20200224,20200219,16660,1,6,SO43991,"2,171.29",3578.27
311,20200212,20200224,20200219,16638,1,6,SO43992,"2,171.29",3578.27
314,20200214,20200226,20200221,16929,1,6,SO43993,"2,171.29",3578.27
314,20200215,20200227,20200222,27681,1,100,SO43994,"2,171.29",3578.27
312,20200215,20200227,20200222,21813,1,19,SO43995,"2,171.29",3578.27
310,20200215,20200227,20200222,27920,1,100,SO43996,"2,171.29",3578.27
310,20200215,20200227,20200222,28022,1,100,SO43997,"2,171.29",3578.27
348,20200215,20200227,20200222,11033,1,6,SO43998,"1,898.09",3374.99
311,20200215,20200227,20200222,28047,1,100,SO43999,"2,171.29",3578.27
311,20200216,20200228,20200223,27918,1,100,SO44000,"2,171.29",3578.27
313,20200216,20200228,20200223,28044,1,100,SO44001,"2,171.29",3578.27
336,20200216,20200228,20200223,14572,1,100,SO44002,413.15,699.1
342,20200216,20200228,20200223,19325,1,29,SO44003,413.15,699.1
310,20200216,20200228,20200223,28061,1,100,SO44004,"2,171.29",3578.27
334,20200216,20200228,20200223,26629,1,19,SO44005,413.15,699.1
310,20200216,20200228,20200223,16744,1,6,SO44006,"2,171.29",3578.27
320,20200216,20200228,20200223,25555,1,6,SO44007,413.15,699.1
312,20200217,20200301,20200224,27678,1,100,SO44008,"2,171.29",3578.27
314,20200217,20200301,20200224,27759,1,100,SO44009,"2,171.29",3578.27
310,20200217,20200301,20200224,13680,1,98,SO44010,"2,171.29",3578.27
310,20200217,20200301,20200224,13514,1,29,SO44011,"2,171.29",3578.27
349,20200217,20200301,20200224,11052,1,6,SO44012,"1,898.09",3374.99
312,20200217,20200301,20200224,16928,1,6,SO44013,"2,171.29",3578.27
313,20200218,20200302,20200225,27917,1,100,SO44014,"2,171.29",3578.27
311,20200218,20200302,20200225,13693,1,98,SO44015,"2,171.29",3578.27
350,20200218,20200302,20200225,11247,1,98,SO44016,"1,898.09",3374.99
310,20200218,20200302,20200225,28078,1,100,SO44017,"2,171.29",3578.27
350,20200218,20200302,20200225,25876,1,100,SO44018,"1,898.09",3374.99
310,20200218,20200302,20200225,16701,1,6,SO44019,"2,171.29",3578.27
311,20200218,20200302,20200225,16931,1,6,SO44020,"2,171.29",3578.27
348,20200218,20200302,20200225,11032,1,6,SO44021,"1,898.09",3374.99
313,20200219,20200303,20200226,22008,1,19,SO44022,"2,171.29",3578.27
349,20200219,20200303,20200226,19830,1,19,SO44023,"1,898.09",3374.99
314,20200219,20200303,20200226,16663,1,6,SO44024,"2,171.29",3578.27
314,20200219,20200303,20200226,16708,1,6,SO44025,"2,171.29",3578.27
310,20200219,20200303,20200226,17045,1,6,SO44026,"2,171.29",3578.27
310,20200220,20200304,20200227,21921,1,19,SO44027,"2,171.29",3578.27
312,20200220,20200304,20200227,17048,1,6,SO44028,"2,171.29",3578.27
350,20200220,20200304,20200227,11050,1,6,SO44029,"1,898.09",3374.99
311,20200221,20200305,20200228,12131,1,39,SO44030,"2,171.29",3578.27
313,20200221,20200305,20200228,13689,1,98,SO44031,"2,171.29",3578.27
344,20200221,20200305,20200228,11243,1,98,SO44032,"1,912.15",3399.99
314,20200221,20200305,20200228,16693,1,6,SO44033,"2,171.29",3578.27
313,20200221,20200305,20200228,16702,1,6,SO44034,"2,171.29",3578.27
312,20200221,20200305,20200228,16707,1,6,SO44035,"2,171.29",3578.27
310,20200221,20200305,20200228,17046,1,6,SO44036,"2,171.29",3578.27
328,20200221,20200305,20200228,25272,1,6,SO44037,413.15,699.1
344,20200221,20200305,20200228,25868,1,100,SO44038,"1,912.15",3399.99
342,20200222,20200306,20200301,17971,1,39,SO44039,413.15,699.1
351,20200222,20200306,20200301,11057,1,6,SO44040,"1,898.09",3374.99
313,20200222,20200306,20200301,16742,1,6,SO44041,"2,171.29",3578.27
313,20200223,20200307,20200302,13678,1,98,SO44042,"2,171.29",3578.27
311,20200223,20200307,20200302,13679,1,98,SO44043,"2,171.29",3578.27
314,20200223,20200307,20200302,13690,1,98,SO44044,"2,171.29",3578.27
344,20200223,20200307,20200302,28394,1,39,SO44045,"1,912.15",3399.99
313,20200223,20200307,20200302,28064,1,100,SO44046,"2,171.29",3578.27
344,20200223,20200307,20200302,25878,1,100,SO44047,"1,912.15",3399.99
314,20200223,20200307,20200302,16713,1,6,SO44048,"2,171.29",3578.27
314,20200224,20200308,20200303,13538,1,29,SO44049,"2,171.29",3578.27
310,20200224,20200308,20200303,17050,1,6,SO44050,"2,171.29",3578.27
310,20200225,20200309,20200304,13691,1,98,SO44051,"2,171.29",3578.27
314,20200225,20200309,20200304,16637,1,6,SO44052,"2,171.29",3578.27
338,20200226,20200310,20200305,19329,1,29,SO44053,413.15,699.1
314,20200226,20200310,20200305,13542,1,29,SO44054,"2,171.29",3578.27
310,20200226,20200310,20200305,13543,1,29,SO44055,"2,171.29",3578.27
314,20200226,20200310,20200305,13559,1,29,SO44056,"2,171.29",3578.27
338,20200226,20200310,20200305,14577,1,100,SO44057,413.15,699.1
350,20200226,20200310,20200305,11056,1,6,SO44058,"1,898.09",3374.99
313,20200226,20200310,20200305,16688,1,6,SO44059,"2,171.29",3578.27
342,20200226,20200310,20200305,25273,1,6,SO44060,413.15,699.1
310,20200227,20200311,20200306,27919,1,100,SO44061,"2,171.29",3578.27
310,20200227,20200311,20200306,28041,1,100,SO44062,"2,171.29",3578.27
344,20200227,20200311,20200306,11240,1,98,SO44063,"1,912.15",3399.99
310,20200227,20200311,20200306,22050,1,19,SO44064,"2,171.29",3578.27
310,20200227,20200311,20200306,28062,1,100,SO44065,"2,171.29",3578.27
344,20200227,20200311,20200306,25867,1,100,SO44066,"1,912.15",3399.99
310,20200227,20200311,20200306,17049,1,6,SO44067,"2,171.29",3578.27
313,20200228,20200312,20200307,13541,1,29,SO44068,"2,171.29",3578.27
349,20200228,20200312,20200307,28395,1,39,SO44069,"1,898.09",3374.99
349,20200228,20200312,20200307,19829,1,19,SO44070,"1,898.09",3374.99
313,20200228,20200312,20200307,16691,1,6,SO44071,"2,171.29",3578.27
311,20200228,20200312,20200307,16656,1,6,SO44072,"2,171.29",3578.27
351,20200228,20200312,20200307,11044,1,6,SO44073,"1,898.09",3374.99
310,20200301,20200313,20200308,13821,1,98,SO44134,"2,171.29",3578.27
310,20200301,20200313,20200308,28156,1,100,SO44135,"2,171.29",3578.27
311,20200301,20200313,20200308,22114,1,19,SO44136,"2,171.29",3578.27
314,20200301,20200313,20200308,17328,1,6,SO44137,"2,171.29",3578.27
310,20200302,20200314,20200309,13765,1,98,SO44138,"2,171.29",3578.27
311,20200302,20200314,20200309,13792,1,98,SO44139,"2,171.29",3578.27
311,20200302,20200314,20200309,12221,1,39,SO44140,"2,171.29",3578.27
313,20200302,20200314,20200309,13572,1,29,SO44141,"2,171.29",3578.27
313,20200302,20200314,20200309,22058,1,19,SO44142,"2,171.29",3578.27
313,20200302,20200314,20200309,28145,1,100,SO44143,"2,171.29",3578.27
312,20200302,20200314,20200309,17071,1,6,SO44144,"2,171.29",3578.27
310,20200302,20200314,20200309,17309,1,6,SO44145,"2,171.29",3578.27
313,20200302,20200314,20200309,17310,1,6,SO44146,"2,171.29",3578.27
310,20200302,20200314,20200309,17320,1,6,SO44147,"2,171.29",3578.27
310,20200303,20200315,20200310,28172,1,100,SO44148,"2,171.29",3578.27
312,20200303,20200315,20200310,17242,1,6,SO44149,"2,171.29",3578.27
312,20200303,20200315,20200310,17315,1,6,SO44150,"2,171.29",3578.27
328,20200303,20200315,20200310,25558,1,6,SO44151,413.15,699.1
346,20200304,20200316,20200311,11334,1,98,SO44152,"1,912.15",3399.99
312,20200304,20200316,20200311,28168,1,100,SO44153,"2,171.29",3578.27
311,20200304,20200316,20200311,28181,1,100,SO44154,"2,171.29",3578.27
313,20200304,20200316,20200311,28131,1,100,SO44155,"2,171.29",3578.27
346,20200304,20200316,20200311,25887,1,100,SO44156,"1,912.15",3399.99
314,20200304,20200316,20200311,17055,1,6,SO44157,"2,171.29",3578.27
311,20200305,20200317,20200312,13567,1,29,SO44158,"2,171.29",3578.27
311,20200305,20200317,20200312,28182,1,100,SO44159,"2,171.29",3578.27
312,20200305,20200317,20200312,28186,1,100,SO44160,"2,171.29",3578.27
314,20200306,20200318,20200313,13772,1,98,SO44161,"2,171.29",3578.27
311,20200306,20200318,20200313,28185,1,100,SO44162,"2,171.29",3578.27
314,20200306,20200318,20200313,28193,1,100,SO44163,"2,171.29",3578.27
310,20200306,20200318,20200313,28088,1,100,SO44164,"2,171.29",3578.27
313,20200306,20200318,20200313,17065,1,6,SO44165,"2,171.29",3578.27
338,20200306,20200318,20200313,14581,1,100,SO44166,413.15,699.1
314,20200306,20200318,20200313,17308,1,6,SO44167,"2,171.29",3578.27
313,20200307,20200319,20200314,12211,1,39,SO44168,"2,171.29",3578.27
311,20200307,20200319,20200314,28179,1,100,SO44169,"2,171.29",3578.27
314,20200307,20200319,20200314,28183,1,100,SO44170,"2,171.29",3578.27
313,20200307,20200319,20200314,28112,1,100,SO44171,"2,171.29",3578.27
338,20200307,20200319,20200314,14584,1,100,SO44172,413.15,699.1
312,20200308,20200320,20200315,13784,1,98,SO44173,"2,171.29",3578.27
311,20200308,20200320,20200315,17229,1,6,SO44174,"2,171.29",3578.27
313,20200308,20200320,20200315,17246,1,6,SO44175,"2,171.29",3578.27
314,20200309,20200321,20200316,12220,1,39,SO44176,"2,171.29",3578.27
350,20200309,20200321,20200316,11337,1,98,SO44177,"1,898.09",3374.99
312,20200309,20200321,20200316,28097,1,100,SO44178,"2,171.29",3578.27
350,20200309,20200321,20200316,25888,1,100,SO44179,"1,898.09",3374.99
347,20200309,20200321,20200316,11058,1,6,SO44180,"1,912.15",3399.99
312,20200309,20200321,20200316,17294,1,6,SO44181,"2,171.29",3578.27
310,20200309,20200321,20200316,17299,1,6,SO44182,"2,171.29",3578.27
310,20200310,20200322,20200317,28158,1,100,SO44183,"2,171.29",3578.27
314,20200310,20200322,20200317,17247,1,6,SO44184,"2,171.29",3578.27
310,20200310,20200322,20200317,17280,1,6,SO44185,"2,171.29",3578.27
347,20200312,20200324,20200319,25889,1,100,SO44186,"1,912.15",3399.99
313,20200312,20200324,20200319,17069,1,6,SO44187,"2,171.29",3578.27
334,20200313,20200325,20200320,20052,1,98,SO44188,413.15,699.1
322,20200313,20200325,20200320,20054,1,98,SO44189,413.15,699.1
348,20200313,20200325,20200320,11061,1,6,SO44190,"1,898.09",3374.99
310,20200313,20200325,20200320,17248,1,6,SO44191,"2,171.29",3578.27
312,20200314,20200326,20200321,13570,1,29,SO44192,"2,171.29",3578.27
312,20200314,20200326,20200321,28164,1,100,SO44193,"2,171.29",3578.27
310,20200314,20200326,20200321,17064,1,6,SO44194,"2,171.29",3578.27
313,20200314,20200326,20200321,17249,1,6,SO44195,"2,171.29",3578.27
314,20200314,20200326,20200321,17295,1,6,SO44196,"2,171.29",3578.27
312,20200315,20200327,20200322,28096,1,100,SO44197,"2,171.29",3578.27
310,20200315,20200327,20200322,28150,1,100,SO44198,"2,171.29",3578.27
313,20200315,20200327,20200322,17259,1,6,SO44199,"2,171.29",3578.27
311,20200315,20200327,20200322,17312,1,6,SO44200,"2,171.29",3578.27
